V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,
1%,0%,0%,0%,58%,1%,22%,0%,0%,1%,0%,0%,1%,0%,0%,6%,0%,2%,0%,7%,
0%,0%,0%,0%,1%,1%,0%,0%,86%,10%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,
0%,81%,0%,1%,5%,0%,0%,0%,1%,0%,0%,0%,1%,0%,0%,2%,0%,0%,0%,7%,
0%,1%,1%,2%,0%,0%,0%,0%,1%,0%,0%,2%,0%,56%,0%,1%,0%,0%,0%,34%,
55%,0%,0%,0%,8%,0%,0%,0%,2%,0%,0%,0%,0%,0%,13%,1%,0%,0%,0%,18%,
0%,0%,1%,3%,0%,0%,1%,0%,1%,0%,0%,0%,1%,0%,12%,1%,0%,11%,0%,68%,
0%,1%,0%,4%,0%,0%,2%,0%,0%,83%,0%,1%,0%,0%,0%,2%,0%,0%,0%,5%,
1%,0%,0%,0%,1%,55%,1%,0%,0%,1%,0%,0%,2%,0%,0%,0%,0%,14%,23%,0%,
0%,14%,0%,0%,2%,0%,0%,0%,34%,1%,0%,0%,1%,0%,0%,42%,0%,0%,0%,4%,
1%,0%,1%,1%,1%,0%,3%,10%,1%,0%,48%,3%,0%,0%,0%,18%,5%,1%,0%,4%,
0%,5%,0%,63%,6%,0%,0%,0%,12%,1%,0%,0%,0%,1%,0%,0%,0%,0%,0%,9%,
0%,0%,0%,40%,13%,0%,3%,0%,0%,1%,30%,0%,0%,0%,0%,1%,0%,0%,0%,10%,
0%,0%,0%,0%,3%,1%,31%,0%,0%,8%,0%,0%,51%,0%,0%,2%,0%,1%,0%,2%,
0%,9%,0%,0%,77%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%,0%,10%,0%,
40%,0%,1%,3%,22%,0%,7%,1%,1%,1%,0%,0%,0%,0%,0%,1%,0%,0%,0%,22%,
0%,13%,0%,1%,1%,3%,1%,0%,4%,7%,0%,16%,8%,0%,13%,8%,1%,8%,1%,16%,
6%,0%,0%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,11%,0%,1%,0%,72%,3%,0%,
7%,0%,0%,0%,0%,0%,87%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,1%,0%,2%,
0%,3%,0%,0%,3%,1%,0%,0%,1%,0%,0%,1%,13%,0%,0%,58%,0%,12%,6%,1%,
0%,0%,67%,1%,4%,1%,3%,0%,0%,0%,0%,9%,0%,0%,0%,1%,0%,0%,0%,13%,
99%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
2%,0%,26%,1%,1%,1%,35%,0%,17%,0%,2%,2%,0%,0%,1%,2%,1%,7%,0%,2%,
0%,1%,39%,1%,0%,1%,2%,0%,0%,0%,1%,47%,0%,0%,1%,2%,2%,1%,0%,3%,
0%,7%,1%,14%,3%,0%,1%,0%,1%,1%,35%,18%,0%,1%,1%,2%,1%,0%,1%,12%,
1%,0%,1%,2%,0%,0%,35%,0%,0%,0%,0%,1%,0%,0%,0%,3%,0%,44%,0%,11%,
99%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
1%,0%,0%,1%,28%,1%,54%,0%,0%,1%,0%,0%,1%,0%,0%,2%,0%,0%,0%,11%,
0%,1%,1%,46%,0%,0%,9%,0%,0%,0%,0%,1%,0%,0%,0%,1%,36%,0%,0%,4%,
5%,0%,1%,0%,0%,1%,75%,0%,0%,0%,0%,6%,0%,0%,0%,1%,0%,8%,0%,2%,
7%,0%,1%,3%,0%,0%,76%,0%,0%,0%,0%,1%,0%,0%,1%,0%,0%,6%,0%,2%,
1%,0%,0%,0%,1%,12%,28%,0%,3%,2%,0%,15%,0%,0%,1%,1%,0%,18%,0%,16%,
32%,1%,1%,0%,3%,3%,20%,0%,1%,2%,0%,1%,10%,0%,2%,14%,0%,7%,0%,4%,
1%,2%,5%,0%,21%,2%,2%,0%,1%,0%,1%,5%,3%,0%,1%,34%,0%,7%,1%,13%,
0%,2%,53%,1%,0%,0%,1%,0%,0%,0%,0%,0%,1%,0%,0%,17%,0%,0%,0%,24%,
0%,0%,0%,6%,0%,0%,9%,0%,0%,0%,0%,1%,0%,0%,0%,5%,65%,0%,0%,13%,
0%,0%,96%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,1%,
1%,0%,4%,0%,1%,1%,1%,0%,48%,0%,1%,4%,1%,1%,1%,10%,0%,8%,0%,18%,
8%,11%,0%,0%,1%,36%,7%,0%,6%,23%,0%,1%,0%,0%,1%,2%,0%,0%,3%,1%,
